ID,TIPO PRODUTO,QUANTIDADE (Kg),Nº ONU,Nº PERIGO,CLASSE,RAIO MINIMO,RAIO MAXIMO,RAIO INCENDIO,RISCO EXPLOSAO,OBSERVAÇÕES,ONU_NORM,ONU_LIMPEZA,CLASSE_NORM,CLASSE_LIMPEZA,CLASSE_DESC,PRODUTO_CANON
1651,Liquido inflamavel n.s.a.,1700.0,1993,33,3.0,50,300.0,800,True,,1993,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,liquido inflamavel n.s.a.
1652,Liquido inflamavel n.s.a.,2229.0,1993,33,3.0,50,300.0,800,True,,1993,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,liquido inflamavel n.s.a.
1652,Liquido corrosivo n.s.a.,5035.0,1760,88,8.0,50,,800,True,,1760,ok,8,recuperado major de '8.0' (provável Nº perigo na coluna),8 — Matérias corrosivas,liquido corrosivo n.s.a.
1653,Aerossois inflamaveis,8.0,1950,20,2.0,50,500.0,800,True,,1950,ok,2,recuperado major de '2.0' (provável Nº perigo na coluna),2 — Gases,aerossois inflamaveis
1653,Materia perigosa do ponto de vista do ambiente liquida n.s.a,47.0,3082,90,9.0,50,,800,True,,3082,ok,9,recuperado major de '9.0' (provável Nº perigo na coluna),9 — Matérias e objetos perigosos diversos,materia perigosa do ponto de vista do ambiente liquida n.s.a
1654,Tintas ou materias aparentadas as tintas,304.0,1263,33,3.0,50,300.0,800,True,,1263,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,tintas ou materias aparentadas as tintas
1654,Liquido inflamavel n.s.a.,268.0,1993,33,3.0,50,300.0,800,True,,1993,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,liquido inflamavel n.s.a.
1654,Liquido inflamavel toxico n.s.a.,211.0,1992,33,3.0,50,,800,True,,1992,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,liquido inflamavel toxico n.s.a.
1654,"Produtos de conservação de madeira, liquidos",315.0,1306,33,3.0,50,300.0,800,True,,1306,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,"produtos de conservacao de madeira, liquidos"
1654,Liquido corrosivo n.s.a.,57.0,1760,88,8.0,50,,800,True,,1760,ok,8,recuperado major de '8.0' (provável Nº perigo na coluna),8 — Matérias corrosivas,liquido corrosivo n.s.a.
1655,Argon liquido refrigerado,0.0,1951,22,2.0,100,100.0,800,True,,1951,ok,2,recuperado major de '2.0' (provável Nº perigo na coluna),2 — Gases,argon liquido refrigerado
1656,Liquido inflamavel n.s.a.,343.0,1993,33,3.0,50,300.0,800,True,,1993,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,liquido inflamavel n.s.a.
1656,Liquido corrosivo n.s.a.,1906.0,1760,88,8.0,50,,800,True,,1760,ok,8,recuperado major de '8.0' (provável Nº perigo na coluna),8 — Matérias corrosivas,liquido corrosivo n.s.a.
1657,Argon liquido refrigerado,22470.0,1951,22,2.0,100,100.0,800,True,,1951,ok,2,recuperado major de '2.0' (provável Nº perigo na coluna),2 — Gases,argon liquido refrigerado
1657,Liquido inflamavel n.s.a.,7140.0,1933,33,3.0,50,300.0,800,True,,1933,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,liquido inflamavel n.s.a.
1657,Liquido corrosivo n.s.a.,6349.0,1760,88,8.0,50,,800,True,,1760,ok,8,recuperado major de '8.0' (provável Nº perigo na coluna),8 — Matérias corrosivas,liquido corrosivo n.s.a.
1657,Acido hidrocloridrico,1670.0,1789,80,8.0,50,,800,True,,1789,ok,8,recuperado major de '8.0' (provável Nº perigo na coluna),8 — Matérias corrosivas,acido hidrocloridrico
1657,Acido fluoridrico,500.0,1790,80,8.0,50,,800,True,,1790,ok,8,recuperado major de '8.0' (provável Nº perigo na coluna),8 — Matérias corrosivas,acido fluoridrico
1657,Materia perigosa do ponto de vista do ambiente solida n.s.a.,512.0,3077,90,9.0,50,,800,True,,3077,ok,9,recuperado major de '9.0' (provável Nº perigo na coluna),9 — Matérias e objetos perigosos diversos,materia perigosa do ponto de vista do ambiente solida n.s.a.
1658,Liquido inflamavel n.s.a.,26800.0,1993,33,3.0,50,300.0,800,True,,1993,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,liquido inflamavel n.s.a.
1658,Liquido corrosivo n.s.a.,4666.0,1760,88,8.0,50,,800,True,,1760,ok,8,recuperado major de '8.0' (provável Nº perigo na coluna),8 — Matérias corrosivas,liquido corrosivo n.s.a.
1659,Produtos de perfumaria,62576.0,1266,33,3.0,50,300.0,800,True,,1266,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,produtos de perfumaria
1659,Tintas ou materias aparentadas as tintas,304.0,1263,33,3.0,50,300.0,800,True,,1263,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,tintas ou materias aparentadas as tintas
1659,Acumuladores electricos cheios de electrolito liquido acido,11.0,2794,80,8.0,50,,800,True,,2794,ok,8,recuperado major de '8.0' (provável Nº perigo na coluna),8 — Matérias corrosivas,acumuladores electricos cheios de electrolito liquido acido
1659,Argon liquido refrigerado,22470.0,1951,22,2.0,100,100.0,800,True,,1951,ok,2,recuperado major de '2.0' (provável Nº perigo na coluna),2 — Gases,argon liquido refrigerado
1660,Liquido inflamavel n.s.a.,25398.0,1933,33,3.0,50,,800,True,,1933,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,liquido inflamavel n.s.a.
1660,"Gas liquefeito, n.s.a.",14.0,3163,20,2.0,100,500.0,800,True,,3163,ok,2,recuperado major de '2.0' (provável Nº perigo na coluna),2 — Gases,"gas liquefeito, n.s.a."
1661,Tintas ou materias aparentadas as tintas,7979.0,1263,30,3.0,50,300.0,800,True,,1263,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,tintas ou materias aparentadas as tintas
1661,Resina em solucao,15970.0,1866,30 ou 33,3.0,50,300.0,800,True,,1866,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,resina em solucao
1661,Materia perigosa do ponto de vista do ambiente liquida n.s.a,3000.0,3082,90,9.0,50,,800,True,,3082,ok,9,recuperado major de '9.0' (provável Nº perigo na coluna),9 — Matérias e objetos perigosos diversos,materia perigosa do ponto de vista do ambiente liquida n.s.a
1661,Acido fosforico em solucao,1584.0,1805,80,8.0,50,,800,True,,1805,ok,8,recuperado major de '8.0' (provável Nº perigo na coluna),8 — Matérias corrosivas,acido fosforico em solucao
1661,"Destilados de petroleo, n.s.a.",680.0,1268,33,3.0,50,300.0,800,True,,1268,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,"destilados de petroleo, n.s.a."
1661,Acetona,790.0,1090,33,3.0,50,300.0,800,True,,1090,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,acetona
1661,Aerossois inflamaveis,2000.0,1950,20,2.0,50,500.0,800,True,,1950,ok,2,recuperado major de '2.0' (provável Nº perigo na coluna),2 — Gases,aerossois inflamaveis
1662,Tintas ou materias aparentadas as tintas,13400.0,1263,30,3.0,50,300.0,800,True,,1263,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,tintas ou materias aparentadas as tintas
1663,"Hidrocarbonetos gasosos em mistura liquefeita, nsa",19940.0,1965,23,2.0,100,800.0,1600,True,,1965,ok,2,recuperado major de '2.0' (provável Nº perigo na coluna),2 — Gases,"hidrocarbonetos gasosos em mistura liquefeita, nsa"
1663,Argon comprimido,35760.0,1006,20,2.0,100,,800,True,,1006,ok,2,recuperado major de '2.0' (provável Nº perigo na coluna),2 — Gases,argon comprimido
