ID,DATA,HORA PARTIDA,HORA CHEGADA,ORIGEM,DESTINO,Nº COMBOIO,QUANTIDADE TOTAL (Kg),OBSERVAÇÕES,HORA_PARTIDA_H,HORA_CHEGADA_H,ANO,DIA_SEMANA_NUM,DIA_SEMANA,ORIGEM_N,DESTINO_N
0067,2001-11-14,19:27:00,04:40:00,Leixoes,Alcantara,80160,,Cloreto de metileno,19,4,2001,2,Quarta,Leixoes,Alcantara
0068,2001-11-20,22:48:00,04:36:00,Alcantara,Leixoes,80610/11,,,22,4,2001,1,Terça,Alcantara,Leixoes
0069,2001-11-27,22:48:00,04:36:00,Alcantara,Leixoes,80610/11,,3 contentores com 18000 kg cada,22,4,2001,1,Terça,Alcantara,Leixoes
0070,2001-11-28,22:48:00,04:36:00,Alcantara,Leixoes,80610/11,,,22,4,2001,2,Quarta,Alcantara,Leixoes
0071,2001-11-30,19:25:00,04:40:00,Leixoes,Alcantara,80160/61,,,19,4,2001,4,Sexta,Leixoes,Alcantara
0072,2001-12-04,19:27:00,04:40:00,Leixoes,Alcantara,80160/61,,,19,4,2001,1,Terça,Leixoes,Alcantara
0073,2001-12-04,22:48:00,04:36:00,Alcantara,Leixoes,80610/11,,,22,4,2001,1,Terça,Alcantara,Leixoes
0074,2001-12-05,22:48:00,04:36:00,Alcantara,Leixoes,80610/11,,Em solucao aquosa estabilizada_x000D_ 4 contentores com 23000 com kg cada,22,4,2001,2,Quarta,Alcantara,Leixoes
0075,2001-12-13,22:48:00,04:36:00,Alcantara,Leixoes,80610/11,,,22,4,2001,3,Quinta,Alcantara,Leixoes
0076,2001-12-18,22:48:00,04:36:00,Alcantara,Leixoes,80610/11,,,22,4,2001,1,Terça,Alcantara,Leixoes
0077,2001-12-21,19:27:00,04:40:00,Leixoes,Santa Apolonia,80160/61,2400.0,,19,4,2001,4,Sexta,Leixoes,Santa Apolonia
0078,2001-12-21,19:27:00,04:40:00,Leixoes,Alcantara,80160,,,19,4,2001,4,Sexta,Leixoes,Alcantara
0079,2001-12-26,22:48:00,04:36:00,Alcantara,Leixoes,80610/11,,,22,4,2001,2,Quarta,Alcantara,Leixoes
0080,2001-12-26,22:48:00,04:36:00,Alcantara,Leixoes,80610/11,,,22,4,2001,2,Quarta,Alcantara,Leixoes
0081,2002-01-02,22:43:00,04:36:00,Alcantara,Leixoes,80610/11,,,22,4,2002,2,Quarta,Alcantara,Leixoes
0082,2002-01-03,22:48:00,04:36:00,Alcantara,Leixoes,80610/11,,,22,4,2002,3,Quinta,Alcantara,Leixoes
0083,2002-01-10,19:27:00,04:40:00,Leixoes,Alcantara,80160/61,,,19,4,2002,3,Quinta,Leixoes,Alcantara
0084,2002-01-14,19:27:00,04:40:00,Leixoes,Alcantara,80160/61,,,19,4,2002,0,Segunda,Leixoes,Alcantara
0085,2002-01-21,19:27:00,04:40:00,Leixoes,Alcantara,80160/61,,,19,4,2002,0,Segunda,Leixoes,Alcantara
0086,2002-01-29,19:27:00,04:40:00,Leixoes,Alcantara,80160/61,9920.0,,19,4,2002,1,Terça,Leixoes,Alcantara
0087,2002-02-05,22:48:00,04:36:00,Alcantara,Leixoes,80160,26734.0,2 contentores com 13392 kg cada,22,4,2002,1,Terça,Alcantara,Leixoes
0088,2002-02-07,19:27:00,04:40:00,Leixoes,Alcantara,80160/61,7800.0,,19,4,2002,3,Quinta,Leixoes,Alcantara
0089,2002-02-11,19:27:00,04:40:00,Leixoes,Alcantara,80160/61,7194.0,,19,4,2002,0,Segunda,Leixoes,Alcantara
0090,2002-02-11,22:48:00,04:36:00,Alcantara,Leixoes,80610,126378.0,7 contentores com 18054 kg cada,22,4,2002,0,Segunda,Alcantara,Leixoes
0091,2002-02-13,22:48:00,04:36:00,Alcantara,Leixoes,80610/61,26794.0,2 contentores com 13392 kg cada,22,4,2002,2,Quarta,Alcantara,Leixoes
0092,2002-02-18,22:48:00,04:36:00,Alcantara,Leixoes,80610,8875.0,,22,4,2002,0,Segunda,Alcantara,Leixoes
0093,2002-03-05,22:48:00,04:36:00,Alcantara,Leixoes,80610/11,14000.0,,22,4,2002,1,Terça,Alcantara,Leixoes
0094,2002-03-07,19:27:00,04:40:00,Leixoes,Alcantara,80160/61,40000.0,Soda caustica_x000D_ 2 contentores com 20000 kg cada,19,4,2002,3,Quinta,Leixoes,Alcantara
0095,2002-03-11,22:48:00,04:36:00,Alcantara,Leixoes,80610,18050.0,,22,4,2002,0,Segunda,Alcantara,Leixoes
0096,2002-03-12,22:48:00,04:36:00,Alcantara,Leixoes,80610,8000.0,,22,4,2002,1,Terça,Alcantara,Leixoes
0097,2002-03-14,19:27:00,04:40:00,Leixoes,Alcantara,80160/61,14842.0,11 paletas com 1236 latas cada,19,4,2002,3,Quinta,Leixoes,Alcantara
0098,2002-03-20,22:45:00,04:36:00,Alcantara,Leixoes,80610,54150.0,3 contentores com 18050 kg cada,22,4,2002,2,Quarta,Alcantara,Leixoes
0099,2002-03-22,19:20:00,04:40:00,Leixoes,Alcantara,80160/61,18660.0,,19,4,2002,4,Sexta,Leixoes,Alcantara
0100,2002-03-28,19:27:00,04:40:00,Leixoes,Alcantara,80160/61,15060.0,,19,4,2002,3,Quinta,Leixoes,Alcantara
